Date,Price in Contemporary Dollars,Price in 2018 Dollars
2018-12-31,71.310059761,71.310059761
2017-12-31,54.1924404762,55.516078454
2016-12-31,43.7341699605,45.7568163273
2015-12-31,52.3867588933,55.5010056891
2014-12-31,98.9460079051,104.952500706
2013-12-31,108.658517787,117.124252226
2012-12-31,111.669702381,122.133174019
2011-12-31,111.25559761,124.198379778
2010-12-31,79.4955335968,91.5447635236
2009-12-31,61.6712648221,72.1837552296
2008-12-31,97.2559727626,113.429239502
2007-12-31,72.3890784314,87.6687034835
2006-12-31,65.1440625,81.141518364
2005-12-31,54.5210894942,70.1004977963
2004-12-31,38.265,50.8661162255
2003-12-31,28.830703125,39.3456052696
2002-12-31,25.023255814,34.9278193312
2001-12-31,24.4438910506,34.6585666292
2000-12-31,28.4954492188,41.5528848256
1999-12-31,17.970077821,27.0853081116
1998-12-31,12.7156614786,19.5889055638
1997-12-31,19.0925875486,29.8709182653
1996-12-31,20.6684883721,33.0784073273
1995-12-31,17.0166796875,28.0381062092
1994-12-31,15.8176264591,26.801057539
1993-12-31,16.9716342412,29.4927069856
1992-12-31,19.3208365759,34.5801661444
1991-12-31,20.0009143969,36.8749604366
1990-12-31,23.7258203125,45.5831642021
1989-12-31,18.2261132813,36.908908288
1988-12-31,14.9238416988,31.6777778315
1987-12-31,18.4350393701,40.749713302
1986-12-31,14.43,33.0608942518
1985-12-31,27.56,64.3169973978
1984-12-31,28.78,69.5559139557
1983-12-31,29.55,74.5001189759
1982-12-31,32.97,85.7927232124
1981-12-31,35.93,99.2549451045
1980-12-31,36.83,112.236296238
1979-12-31,31.61,109.331849449
1978-12-31,14.02,53.9957076687
1977-12-31,13.92,57.6393016656
1976-12-31,12.8,56.472959872
1975-12-31,11.53,53.8229523689
1974-12-31,11.58,58.9996487274
1973-12-31,3.29,18.5964570953
1972-12-31,2.48,14.8898415576
1971-12-31,2.24,13.8707489088
1970-12-31,1.8,11.634289524
1969-12-31,1.8,12.321318276
1968-12-31,1.8,12.985747398
1967-12-31,1.8,13.528138518
1966-12-31,1.8,13.92137208
1965-12-31,1.8,14.310085716
1964-12-31,1.8,14.55416172
1963-12-31,1.8,14.75755839
1962-12-31,1.8,14.933835504
1961-12-31,1.8,15.09655284
1960-12-31,1.9,16.092694309
1959-12-31,2.08,17.8993087312
1958-12-31,2.08,18.0559994992
1957-12-31,1.9,16.932396117
1956-12-31,1.93,17.8249308378
1955-12-31,1.93,18.0866345532
1954-12-31,1.93,18.0139390767
1953-12-31,1.93,18.1011736485
1952-12-31,1.71,16.1666453205
1951-12-31,1.71,16.5144536262
1950-12-31,1.71,17.8241021847
1949-12-31,1.78,18.7414713878
1948-12-31,1.99,20.7426686243
1947-12-31,1.9,21.345601642
1946-12-31,1.12,14.385417816
1945-12-31,1.05,14.638533672
1944-12-31,1.21,17.258081896
1943-12-31,1.2,17.413768236
1942-12-31,1.19,18.3234786756
1941-12-31,1.14,19.4314632024
1940-12-31,1.02,18.2517625164
1939-12-31,1.02,18.428491623
1938-12-31,1.13,20.1264520463
1937-12-31,1.18,20.6258787586
1936-12-31,1.09,19.7424592219
1935-12-31,0.97,17.7346076499
1934-12-31,1,18.74262648
1933-12-31,0.67,12.9747991328
1932-12-31,0.87,15.9849442953
1931-12-31,0.65,10.7120990665
1930-12-31,1.19,17.8872053738
1929-12-31,1.27,18.6017805637
1928-12-31,1.17,17.1370734327
1927-12-31,1.3,18.786570205
1926-12-31,1.88,26.6584231052
1925-12-31,1.68,24.0502249176
1924-12-31,1.43,20.9884019345
1923-12-31,1.34,19.7078315666
1922-12-31,1.61,24.1033089374
1921-12-31,1.73,24.2620838935
1920-12-31,3.07,38.4601256661
1919-12-31,2.01,29.1680617953
1918-12-31,1.98,32.988679911
1917-12-31,1.56,30.5272788756
1916-12-31,1.1,25.279443904
1915-12-31,0.64,15.8185356864
1914-12-31,0.81,20.2216969314
1913-12-31,0.95,24.0388497705
1912-12-31,0.74,19.1769814975
1911-12-31,0.61,16.3726256125
1910-12-31,0.61,16.3726256125
1909-12-31,0.7,19.4841203403
1908-12-31,0.72,20.0408094929
1907-12-31,0.72,19.3250662967
1906-12-31,0.73,20.3191540692
1905-12-31,0.62,17.25736373
1904-12-31,0.86,23.9376335609
1903-12-31,0.94,26.1643901713
1902-12-31,0.8,23.1240109533
1901-12-31,0.96,28.8587656697
1900-12-31,1.19,35.7728449448
1899-12-31,1.29,38.7789663687
1898-12-31,0.91,27.3557049578
1897-12-31,0.79,23.7483592491
1896-12-31,1.18,35.4722328024
1895-12-31,1.36,40.8832513655
1894-12-31,0.84,24.280211501
1893-12-31,0.64,17.8140528826
1892-12-31,0.56,15.5872962722
1891-12-31,0.67,18.6490866114
1890-12-31,0.87,24.2159781372
1889-12-31,0.94,26.1643901713
1888-12-31,0.88,24.4943227135
1887-12-31,0.67,18.6490866114
1886-12-31,0.71,19.7624649166
1885-12-31,0.88,24.4943227135
1884-12-31,0.84,23.3809444084
1883-12-31,1,26.8403698565
1882-12-31,0.78,20.213575092
1881-12-31,0.86,22.2867622809
1880-12-31,0.95,24.6190978684
1879-12-31,0.86,23.0827180766
1878-12-31,1.19,30.8386594352
1877-12-31,2.42,56.8344831712
1876-12-31,2.56,60.1224284786
1875-12-31,1.35,30.7444236538
1874-12-31,1.17,25.8614857794
1873-12-31,1.83,38.2027930958
1872-12-31,3.64,75.9880693272
1871-12-31,4.34,90.6011595824
1870-12-31,3.86,76.3396624762
1869-12-31,3.64,68.3892623945
1868-12-31,3.63,68.2013798055
1867-12-31,2.41,43.1235275695
1866-12-31,3.74,63.8800802586
1865-12-31,6.59,107.664892303
1864-12-31,8.06,128.879461047
1863-12-31,3.15,63.9816384148
1862-12-31,1.05,26.3035624594
1861-12-31,0.49,13.6388842382
