Year,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020
Quarters ,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1
        Gross domestic product,14721.4,14926.1,15079.9,15240.8,15285.8,15496.2,15591.9,15796.5,16019.8,16152.3,16257.2,16358.9,16569.6,16637.9,16848.7,17083.1,17104.6,17432.9,17721.7,17849.9,17984.2,18219.4,18344.7,18350.8,18424.3,18637.3,18806.7,18991.9,19190.4,19356.6,19611.7,19918.9,20163.2,20510.2,20749.8,20897.8,21098.8,21340.3,21542.5,21729.1,21537.9
Personal consumption expenditures,10040.5,10131.8,10220.6,10350.5,10485.4,10612.1,10705.4,10761.6,10922.4,10964.9,11014.2,11125.7,11223.2,11239.6,11330.9,11475.1,11574.2,11756.9,11915.4,12044.5,12091.6,12248,12376.2,12421.3,12523.5,12688.3,12822.4,12959.8,13104.4,13212.5,13345.1,13586.3,13728.4,13939.8,14114.6,14211.9,14266.3,14511.2,14678.2,14795,14555.8
    Goods,3266.2,3291.2,3315.1,3398.8,3469,3514.5,3527.8,3561.2,3628.7,3616.4,3631.8,3674.1,3731.6,3699.3,3730.4,3758.6,3789.5,3862.9,3897.9,3901.5,3863.3,3924.4,3960.1,3933.6,3933.2,3988.6,4017.8,4044,4097.9,4124.9,4173.3,4264,4298.5,4363.2,4398,4399.4,4397.7,4507,4556.7,4558.5,4532.1
        Durable goods,1021.1,1043.9,1052.4,1078.4,1087.9,1082.9,1090.8,1112.4,1138.1,1133.6,1141.7,1163.6,1188.8,1185.5,1188.9,1194.5,1203.5,1239.4,1255.6,1269.7,1282.2,1307.7,1316.7,1317.1,1330,1343.3,1364.9,1372.4,1385.1,1398.7,1415.9,1450.5,1454.8,1476.7,1485.2,1485.6,1485.4,1524.6,1549.7,1547.6,1475.4
        Nondurable goods,2245.1,2247.3,2262.7,2320.4,2381.1,2431.6,2437,2448.8,2490.6,2482.8,2490.1,2510.5,2542.8,2513.9,2541.4,2564.1,2586,2623.5,2642.3,2631.7,2581.1,2616.7,2643.4,2616.6,2603.2,2645.4,2652.9,2671.6,2712.8,2726.2,2757.4,2813.4,2843.7,2886.5,2912.8,2913.8,2912.3,2982.4,3007,3010.9,3056.7
    Services,6774.3,6840.5,6905.5,6951.7,7016.3,7097.7,7177.6,7200.4,7293.7,7348.5,7382.4,7451.7,7491.6,7540.3,7600.6,7716.5,7784.7,7893.9,8017.5,8143.1,8228.3,8323.7,8416.1,8487.7,8590.3,8699.6,8804.6,8915.8,9006.5,9087.6,9171.8,9322.3,9429.8,9576.6,9716.6,9812.5,9868.6,10004.2,10121.5,10236.5,10023.7
Gross private domestic investment,2038.2,2148.8,2236.5,2238.4,2206,2297.4,2322.8,2504.1,2567.8,2636.9,2644.1,2638.3,2738.2,2775.3,2880,2910.5,2899.2,3030.4,3107.6,3139.5,3235.7,3231.8,3241.2,3183.6,3149.1,3152.9,3166.6,3246.2,3288.2,3335,3401.8,3457.7,3542.4,3561.6,3684,3725.2,3783.4,3749.5,3744.6,3698.3,3659.5
    Fixed investment,2039.4,2112.1,2123.6,2171.1,2173.9,2236.3,2334.9,2400.1,2487.5,2545.5,2559.7,2609.5,2656,2687.5,2743.8,2798.7,2847,2934,3008.2,3051.7,3064.7,3089.1,3117.6,3093.4,3102.2,3133.8,3169.3,3201.3,3274.8,3316.1,3345,3426,3500.9,3571.6,3596.7,3625.2,3670.1,3674.7,3677.6,3680.2,3668.8
